title,year,dnaSource,dnaConfidence,surrealism,loneliness,chaos,romance,nostalgia,intensity,pacing,visualExtremity,narrativeComplexity,darkness,humor,dreamLogic
12 Angry Men,1957,provisional-v3-compatible,0.38,56,62,46,34,69,35,43,35,65,36,47,57
12 Years a Slave,2013,provisional-v3-compatible,0.38,48,56,52,42,53,52,50,48,43,41,44,42
12th Fail,2023,provisional-v3-compatible,0.38,37,42,34,59,47,47,51,58,61,60,45,51
2001: A Space Odyssey,1968,curated-starter-v1,0.95,81,82,28,0,75,67,18,96,94,64,6,76
3 Idiots,2009,provisional-v3-compatible,0.38,48,44,49,57,58,30,58,41,46,24,94,38
3 Women,1977,provisional-v3-compatible,0.38,48,51,50,41,63,51,41,43,47,46,51,57
"4 Months, 3 Weeks and 2 Days",2007,provisional-v3-compatible,0.38,61,61,60,39,63,47,58,60,60,48,58,52
8½,1963,provisional-v3-compatible,0.38,87,42,52,55,57,43,29,65,61,49,37,80
A Brighter Summer Day,1991,provisional-v3-compatible,0.38,46,53,43,40,59,45,59,40,56,41,39,50
A Bronx Tale,1993,provisional-v3-compatible,0.38,35,40,61,49,45,36,43,49,59,56,49,54
A Dog's Will,2000,provisional-v3-compatible,0.38,37,39,34,46,46,52,53,50,46,39,80,55
A Face in the Crowd,1957,provisional-v3-compatible,0.38,41,58,42,61,52,58,44,36,49,44,57,52
A Man Escaped,1956,provisional-v3-compatible,0.38,42,60,38,34,59,60,39,33,62,43,49,40
A Matter of Life and Death,1946,provisional-v3-compatible,0.38,51,54,60,90,72,50,26,55,50,72,49,59
A Moment of Innocence,1996,provisional-v3-compatible,0.38,35,42,38,55,41,51,55,38,46,38,37,62
A Prophet,2009,provisional-v3-compatible,0.38,44,44,55,39,48,56,52,46,57,61,54,45
A Separation,2011,provisional-v3-compatible,0.38,46,60,39,54,58,56,36,45,36,55,52,39
A Silent Voice: The Movie,2016,provisional-v3-compatible,0.38,66,36,50,47,50,44,56,85,58,37,53,49
A Special Day,1977,provisional-v3-compatible,0.38,60,34,61,45,74,45,35,59,53,62,47,45
A Taxi Driver,2017,provisional-v3-compatible,0.38,34,42,37,47,53,52,41,48,36,51,44,54
A Woman Under the Influence,1974,provisional-v3-compatible,0.38,60,54,58,51,75,38,35,44,57,44,51,58
About Elly,2009,provisional-v3-compatible,0.38,60,39,41,40,60,38,45,43,36,58,50,44
Ace in the Hole,1951,provisional-v3-compatible,0.38,40,53,45,55,71,42,39,48,45,38,41,60
After Life,1998,provisional-v3-compatible,0.38,54,57,49,42,60,45,62,56,53,41,57,42
Aftersun,2022,provisional-v3-compatible,0.38,44,37,44,45,39,61,43,51,52,48,49,60
Akira,1988,provisional-v3-compatible,0.38,49,39,39,57,72,41,46,72,50,55,37,57
Ali: Fear Eats the Soul,1974,provisional-v3-compatible,0.38,51,52,38,35,75,61,56,59,56,46,51,49
Alice in the Cities,1974,provisional-v3-compatible,0.38,57,37,61,52,63,35,51,56,61,48,50,34
Alien,1979,provisional-v3-compatible,0.38,59,44,62,37,64,70,56,61,58,76,17,60
All About Eve,1950,provisional-v3-compatible,0.38,41,54,43,60,55,55,51,58,49,43,39,56
All About Lily Chou-Chou,2001,curated-starter-v1,0.95,58,97,61,35,95,71,35,83,72,82,5,65
All About My Mother,1999,provisional-v3-compatible,0.38,38,55,37,41,54,39,60,55,44,57,35,34
All Quiet on the Western Front,1930,provisional-v3-compatible,0.38,44,63,41,48,59,56,31,51,53,58,21,57
All That Jazz,1979,provisional-v3-compatible,0.38,53,46,38,51,53,54,43,34,41,54,59,50
All the President's Men,1976,provisional-v3-compatible,0.38,38,60,62,43,75,59,37,42,56,56,57,44
Amadeus,1984,provisional-v3-compatible,0.38,47,47,36,44,63,35,29,45,46,60,48,35
American History X,1998,provisional-v3-compatible,0.38,55,54,56,52,44,47,45,49,49,44,59,42
Amores Perros,2000,provisional-v3-compatible,0.38,52,44,47,53,42,49,36,53,37,60,46,43
Amour,2012,provisional-v3-compatible,0.38,51,54,57,38,45,56,49,54,41,46,37,55
Amélie,2001,provisional-v3-compatible,0.38,58,65,55,79,56,37,56,38,50,17,89,43
